goos: darwin
goarch: arm64
pkg: github.com/imajinyun/gofly/bench
cpu: Apple M4 Pro
BenchmarkCacheHotPath-14                 	21298429	        53.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkCacheHotPath-14                 	21447192	        53.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkCacheHotPath-14                 	21340725	        53.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkCacheHotPath-14                 	21211954	        54.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkCacheHotPath-14                 	21420647	        53.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTPHello/net_http-14     	  749396	      1502 ns/op	    6188 B/op	      21 allocs/op
BenchmarkHTTPHello/net_http-14     	  800820	      1508 ns/op	    6188 B/op	      21 allocs/op
BenchmarkHTTPHello/net_http-14     	  840986	      1497 ns/op	    6188 B/op	      21 allocs/op
BenchmarkHTTPHello/net_http-14     	  806334	      1474 ns/op	    6188 B/op	      21 allocs/op
BenchmarkHTTPHello/net_http-14     	  810511	      1487 ns/op	    6188 B/op	      21 allocs/op
BenchmarkHTTPHello/gofly-14        	  686485	      1703 ns/op	    7284 B/op	      30 allocs/op
BenchmarkHTTPHello/gofly-14        	  695130	      1750 ns/op	    7284 B/op	      30 allocs/op
BenchmarkHTTPHello/gofly-14        	  687340	      1712 ns/op	    7284 B/op	      30 allocs/op
BenchmarkHTTPHello/gofly-14        	  720906	      1709 ns/op	    7284 B/op	      30 allocs/op
BenchmarkHTTPHello/gofly-14        	  688729	      1764 ns/op	    7284 B/op	      30 allocs/op
BenchmarkHTTPHello/gin-14          	  848620	      1374 ns/op	    6217 B/op	      20 allocs/op
BenchmarkHTTPHello/gin-14          	  855843	      1360 ns/op	    6217 B/op	      20 allocs/op
BenchmarkHTTPHello/gin-14          	  883782	      1371 ns/op	    6217 B/op	      20 allocs/op
BenchmarkHTTPHello/gin-14          	  903486	      1336 ns/op	    6217 B/op	      20 allocs/op
BenchmarkHTTPHello/gin-14          	  905206	      1318 ns/op	    6218 B/op	      20 allocs/op
BenchmarkHTTPHello/echo-14         	  915258	      1324 ns/op	    6193 B/op	      21 allocs/op
BenchmarkHTTPHello/echo-14         	  908941	      1317 ns/op	    6193 B/op	      21 allocs/op
BenchmarkHTTPHello/echo-14         	  913992	      1290 ns/op	    6193 B/op	      21 allocs/op
BenchmarkHTTPHello/echo-14         	  945194	      1305 ns/op	    6193 B/op	      21 allocs/op
BenchmarkHTTPHello/echo-14         	  882079	      1304 ns/op	    6193 B/op	      21 allocs/op
BenchmarkHTTPHello/chi-14          	  779412	      1527 ns/op	    6562 B/op	      23 allocs/op
BenchmarkHTTPHello/chi-14          	  780226	      1554 ns/op	    6562 B/op	      23 allocs/op
BenchmarkHTTPHello/chi-14          	  770706	      1536 ns/op	    6562 B/op	      23 allocs/op
BenchmarkHTTPHello/chi-14          	  773768	      1561 ns/op	    6562 B/op	      23 allocs/op
BenchmarkHTTPHello/chi-14          	  719456	      1539 ns/op	    6562 B/op	      23 allocs/op
BenchmarkHTTPHello/fiber-14        	  217732	      5216 ns/op	   11998 B/op	      39 allocs/op
